"tmp.cg"	"tmp.gene"
"cg24269276"	"SFRS1"
"cg00915289"	"SHC1"
"cg06418219"	"SHC1"
"cg17891149"	"SHC1"
"cg01803059"	"SMAD1"
"cg06440646"	"SMAD1"
"cg14556189"	"SMAD3"
"cg10315128"	"SMAD4"
"cg26909431"	"SMAD4"
"cg14446808"	"SQSTM1"
"cg20406374"	"SQSTM1"
"cg24341536"	"SQSTM1"
"cg05498681"	"SRC"
"cg22437284"	"SRC"
"cg18112163"	"STAT3"
"cg20716209"	"STAT3"
"cg03001305"	"STAT5A"
"cg16777510"	"STAT5A"
"cg14009312"	"STK11"
"cg21547976"	"STK11"
"cg04471507"	"STMN1"
"cg06453691"	"STMN1"
"cg23323671"	"STMN1"
"cg02608019"	"SYK"
"cg05801648"	"SYK"
"cg07160163"	"SYK"
"cg10025443"	"SYK"
"cg14304761"	"SYK"
"cg16896647"	"SYK"
"cg23447996"	"SYK"
"cg17083925"	"TGM2"
"cg06587969"	"TP53"
"cg15206330"	"TP53"
"cg22175811"	"TP53"
"cg09020461"	"TP53BP1"
"cg12032620"	"TP53BP1"
"cg04648087"	"TSC1"
"cg19393006"	"TSC1"
"cg02198582"	"TSC2"
"cg05243909"	"TSC2"
"cg19837824"	"TSC2"
"cg20253700"	"TSC2"
"cg14217534"	"TUBA1B"
"cg21300561"	"TUBA1B"
"cg03509024"	"VHL"
"cg16869108"	"VHL"
"cg20916523"	"VHL"
"cg22782492"	"VHL"
"cg24092914"	"VHL"
"cg25539131"	"VHL"
"cg27226214"	"VHL"
"cg12507125"	"WWTR1"
"cg24078828"	"WWTR1"
"cg14013300"	"XBP1"
"cg18940763"	"XBP1"
"cg01880404"	"XRCC1"
"cg15167433"	"XRCC1"
"cg16579354"	"XRCC5"
"cg21404906"	"XRCC5"
"cg01442799"	"YAP1"
"cg26369667"	"YAP1"
"cg00650876"	"YBX1"
"cg07064406"	"YWHAB"
"cg22799917"	"YWHAB"
"cg11816577"	"YWHAE"
"cg25299176"	"YWHAE"
"cg07981588"	"YWHAZ"
